"","Block_y","Tract","BID","Pdamage_avg","inv_dist_avg","Pdamage_PR","Efficiency_PR","SVI_PR_total","metric_sum","metric_PR"
"1",1000,515,1000515,0,0.0648656898656898,0.327319587628866,0.0412371134020619,0.585051546391753,0.40180412371134,0.355670103092784
"2",1001,514,1001514,0.0284718304761905,0,0.881443298969072,0.744845360824742,0.518041237113402,0.722422680412371,0.829896907216495
"3",1001,515,1001515,3.33333333333333e-08,0.00617283950617283,0.698453608247423,0.474226804123711,0.371134020618557,0.545103092783505,0.628865979381443
"4",1002,514,1002514,0.0728365385714286,0,0.922680412371134,0.744845360824742,0.577319587628866,0.766752577319588,0.855670103092783
"5",1003,514,1003514,0.109959724,0,0.963917525773196,0.744845360824742,0.891752577319588,0.913144329896907,0.989690721649485
"6",1003,515,1003515,6.66666666666667e-08,0.0128205128205128,0.724226804123711,0.438144329896907,1,0.805927835051546,0.891752577319588
"7",1004,515,1004515,1e-07,0,0.75,0.744845360824742,0.927835051546392,0.820618556701031,0.927835051546392
"8",1005,514,1005514,0.0971567671428571,0,0.948453608247423,0.744845360824742,0.88659793814433,0.903350515463917,0.984536082474227
"9",1005,515,1005515,0,0.160384615384615,0.327319587628866,0.00515463917525773,0.984536082474227,0.55798969072165,0.670103092783505
"10",1006,514,1006514,0.0164314377777778,0,0.850515463917526,0.744845360824742,0.855670103092783,0.842010309278351,0.938144329896907
"11",1006,515,1006515,0,0.0352408573901449,0.327319587628866,0.134020618556701,0.646907216494845,0.435824742268041,0.417525773195876
"12",1007,515,1007515,0,0.030109978631484,0.327319587628866,0.185567010309278,0.185567010309278,0.256443298969072,0.0824742268041237
"13",1008,514,1008514,0.0207039433333333,0,0.876288659793814,0.744845360824742,0.963917525773196,0.89819587628866,0.979381443298969
"14",1008,515,1008515,0,0.0200766960635382,0.327319587628866,0.329896907216495,0.396907216494845,0.355412371134021,0.293814432989691
"15",1008,516,1008516,1.42857142857143e-08,0.0238114568672664,0.664948453608247,0.268041237113402,0.324742268041237,0.489175257731959,0.541237113402062
"16",1009,515,1009515,0.00357453888888889,0.00654160654160654,0.793814432989691,0.463917525773196,0.907216494845361,0.806185567010309,0.896907216494845
"17",1009,516,1009516,0,0.0223214285714286,0.327319587628866,0.304123711340206,0.360824742268041,0.33840206185567,0.229381443298969
"18",1010,514,1010514,0.0518811116666667,0,0.907216494845361,0.744845360824742,0.716494845360825,0.814690721649485,0.922680412371134
"19",1010,515,1010515,0.00728075545454545,0.00606060606060606,0.824742268041237,0.479381443298969,0.850515463917526,0.800515463917526,0.881443298969072
"20",1011,514,1011514,0.00719052846153846,0,0.819587628865979,0.744845360824742,0.22680412371134,0.575,0.690721649484536
"21",1011,515,1011515,7.5e-08,0.0126201923076923,0.731958762886598,0.443298969072165,0.61340206185567,0.655670103092784,0.762886597938144
"22",1011,516,1011516,0.00837212,0,0.829896907216495,0.744845360824742,0.494845360824742,0.687371134020619,0.788659793814433
"23",1012,514,1012514,0.0630279872727273,0,0.917525773195876,0.744845360824742,0.118556701030928,0.580670103092783,0.706185567010309
"24",1012,515,1012515,0,0.0147058823529412,0.327319587628866,0.417525773195876,0.20360824742268,0.286855670103093,0.154639175257732
"25",1012,516,1012516,1e-07,0,0.75,0.744845360824742,0.268041237113402,0.556701030927835,0.657216494845361
"26",1013,514,1013514,0.34117112,0,1,0.744845360824742,0.345360824742268,0.712628865979381,0.819587628865979
"27",1013,515,1013515,2e-08,0.00952380952380952,0.670103092783505,0.45360824742268,0.422680412371134,0.549484536082474,0.644329896907217
"28",1013,516,1013516,1e-07,0,0.75,0.744845360824742,0.621134020618557,0.697938144329897,0.804123711340206
"29",1014,514,1014514,0.040685178,0,0.88659793814433,0.744845360824742,0.737113402061856,0.812628865979381,0.907216494845361
