"","Block_y","Tract","BID","Pdamage_avg","inv_dist_avg","Pdamage_PR","Efficiency_PR","SVI_PR_total","metric_sum","metric_PR"
"1",1000,515,1000515,0,0.072008547008547,0.327319587628866,0.0360824742268041,0.585051546391753,0.259020618556701,0.0876288659793814
"2",1001,514,1001514,0.0284718304761905,0.00867239489103335,0.881443298969072,0.778350515463918,0.518041237113402,0.720876288659794,0.876288659793814
"3",1001,515,1001515,3.33333333333333e-08,0.0326619980873618,0.698453608247423,0.211340206185567,0.371134020618557,0.356701030927835,0.27319587628866
"4",1002,514,1002514,0.0728365385714286,0.0103451257703351,0.922680412371134,0.680412371134021,0.577319587628866,0.697938144329897,0.84020618556701
"5",1003,514,1003514,0.109959724,0.00884143165810896,0.963917525773196,0.762886597938144,0.891752577319588,0.841752577319588,0.969072164948454
"6",1003,515,1003515,6.66666666666667e-08,0.0503205128205128,0.724226804123711,0.0670103092783505,1,0.478350515463917,0.463917525773196
"7",1004,515,1004515,1e-07,0.0486333927510398,0.75,0.0876288659793814,0.927835051546392,0.472164948453608,0.45360824742268
"8",1005,514,1005514,0.0971567671428571,0.00857259658436673,0.948453608247423,0.783505154639175,0.88659793814433,0.847422680412371,0.974226804123711
"9",1005,515,1005515,0,0.175769230769231,0.327319587628866,0.00515463917525773,0.984536082474227,0.36340206185567,0.298969072164948
"10",1006,514,1006514,0.0164314377777778,0.00917583778365163,0.850515463917526,0.737113402061856,0.855670103092783,0.795360824742268,0.917525773195876
"11",1006,515,1006515,0,0.0352408573901449,0.327319587628866,0.15979381443299,0.646907216494845,0.339432989690722,0.22680412371134
"12",1007,515,1007515,0,0.0353183119648173,0.327319587628866,0.154639175257732,0.185567010309278,0.198453608247423,0.0309278350515464
"13",1008,514,1008514,0.0207039433333333,0.00929455096121763,0.876288659793814,0.72680412371134,0.963917525773196,0.827835051546392,0.943298969072165
"14",1008,515,1008515,0,0.0286507468398688,0.327319587628866,0.257731958762887,0.396907216494845,0.31340206185567,0.185567010309278
"15",1008,516,1008516,1.42857142857143e-08,0.0238114568672664,0.664948453608247,0.319587628865979,0.324742268041237,0.39020618556701,0.34020618556701
"16",1009,515,1009515,0.00357453888888889,0.0347817610565079,0.793814432989691,0.175257731958763,0.907216494845361,0.518556701030928,0.536082474226804
"17",1009,516,1009516,0,0.0223214285714286,0.327319587628866,0.360824742268041,0.360824742268041,0.354123711340206,0.257731958762887
"18",1010,514,1010514,0.0518811116666667,0.00600693223989618,0.907216494845361,0.969072164948454,0.716494845360825,0.880927835051546,0.984536082474227
"19",1010,515,1010515,0.00728075545454545,0.0362940335151289,0.824742268041237,0.144329896907216,0.850515463917526,0.492268041237113,0.484536082474227
"20",1011,514,1011514,0.00719052846153846,0.00638450375419608,0.819587628865979,0.958762886597938,0.22680412371134,0.711340206185567,0.855670103092783
"21",1011,515,1011515,7.5e-08,0.0356215573468301,0.731958762886598,0.149484536082474,0.61340206185567,0.405154639175258,0.350515463917526
"22",1011,516,1011516,0.00837212,0,0.829896907216495,0.987113402061856,0.494845360824742,0.80798969072165,0.922680412371134
"23",1012,514,1012514,0.0630279872727273,0.00701234201440281,0.917525773195876,0.912371134020619,0.118556701030928,0.675257731958763,0.806701030927835
"24",1012,515,1012515,0,0.0351021527492116,0.327319587628866,0.170103092783505,0.20360824742268,0.21159793814433,0.0463917525773196
"25",1012,516,1012516,1e-07,0,0.75,0.987113402061856,0.268041237113402,0.723969072164949,0.881443298969072
"26",1013,514,1013514,0.34117112,0.010989010989011,1,0.649484536082474,0.345360824742268,0.628350515463918,0.729381443298969
"27",1013,515,1013515,2e-08,0.0345561880666245,0.670103092783505,0.180412371134021,0.422680412371134,0.351030927835052,0.242268041237113
"28",1013,516,1013516,1e-07,0,0.75,0.987113402061856,0.621134020618557,0.829896907216495,0.95360824742268
"29",1014,514,1014514,0.040685178,0.00752458453457074,0.88659793814433,0.860824742268041,0.737113402061856,0.828865979381443,0.948453608247423
"30",1014,515,1014515,0,0.0476190476190476,0.327319587628866,0.0927835051546392,0.922680412371134,0.388659793814433,0.335051546391753
"31",1014,516,1014516,0.01835121,0.0147058823529412,0.865979381443299,0.541237113402062,0.948453608247423,0.728350515463917,0.88659793814433
"32",1015,515,1015515,0,0.0384615384615385,0.327319587628866,0.118556701030928,0.463917525773196,0.263917525773196,0.0979381443298969
"33",1015,516,1015516,0.01686409375,0.0107365441871764,0.855670103092783,0.654639175257732,0.902061855670103,0.769072164948454,0.907216494845361
"34",1016,514,1016514,0.174336418333333,0.00780052100192911,0.984536082474227,0.84020618556701,0.664948453608247,0.816494845360825,0.938144329896907
"35",1016,515,1016515,0,0.0792616629210832,0.327319587628866,0.0257731958762887,0.597938144329897,0.257731958762887,0.0824742268041237
"36",1016,516,1016516,1e-07,0,0.75,0.987113402061856,0.561855670103093,0.812113402061856,0.927835051546392
"37",1017,514,1017514,6e-08,0.00873951357385976,0.716494845360825,0.768041237113402,0.690721649484536,0.734536082474227,0.891752577319588
"38",1017,515,1017515,0,0.0561557456734087,0.327319587628866,0.0515463917525773,0.195876288659794,0.15,0.0206185567010309
"39",1017,516,1017516,0.00485039769230769,0.00714016375781082,0.809278350515464,0.881443298969072,0.829896907216495,0.851546391752577,0.979381443298969
"40",1018,514,1018514,0.011653895,0.0105684725775948,0.84020618556701,0.65979381443299,0.355670103092784,0.604639175257732,0.680412371134021
"41",1018,515,1018515,0,0.032258064516129,0.327319587628866,0.216494845360825,0.556701030927835,0.340721649484536,0.231958762886598
"42",1018,516,1018516,0,0.029033865101456,0.327319587628866,0.252577319587629,0.286082474226804,0.277577319587629,0.118556701030928
"43",1019,514,1019514,0.0951458825,0.00723631653938559,0.943298969072165,0.871134020618557,0.865979381443299,0.884020618556701,0.989690721649485
"44",1019,515,1019515,0,0.0373925619657625,0.327319587628866,0.134020618556701,0.551546391752577,0.297938144329897,0.157216494845361
"45",1019,516,1019516,0,0.0341689385807033,0.327319587628866,0.185567010309278,0.154639175257732,0.204639175257732,0.0360824742268041
"46",1020,514,1020514,0.014465984,0.00656468208933253,0.845360824742268,0.943298969072165,0.585051546391753,0.816237113402062,0.93298969072165
"47",1020,515,1020515,0,0.0162441389239236,0.327319587628866,0.494845360824742,0.809278350515464,0.555670103092784,0.618556701030928
"48",1020,516,1020516,0,0.0339239702866705,0.327319587628866,0.195876288659794,0.711340206185567,0.37680412371134,0.319587628865979
"49",1021,514,1021514,0.1464885,0.00934579439252336,0.974226804123711,0.721649484536082,0.541237113402062,0.718041237113402,0.871134020618557
"50",1021,515,1021515,0,0.0170334547213229,0.327319587628866,0.463917525773196,0.793814432989691,0.535567010309278,0.572164948453608
"51",1022,515,1022515,0,0.0204284914666523,0.327319587628866,0.391752577319588,0.65979381443299,0.459278350515464,0.443298969072165
"52",1023,514,1023514,0.118322381666667,0.00764966682012322,0.969072164948454,0.850515463917526,0.721649484536082,0.835567010309278,0.963917525773196
"53",1023,515,1023515,0,0.0243018737468818,0.327319587628866,0.314432989690722,0.139175257731959,0.264432989690722,0.103092783505155
"54",1024,514,1024514,0.0469199888888889,0.00713965942078587,0.896907216494845,0.88659793814433,0.706185567010309,0.834536082474227,0.958762886597938
"55",1024,515,1024515,0,0.0263190318434676,0.327319587628866,0.278350515463918,0.701030927835051,0.414948453608247,0.360824742268041
"56",1024,516,1024516,1e-07,0,0.75,0.987113402061856,0.912371134020619,0.917268041237113,0.994845360824742
"57",1025,514,1025514,0.0177574471428571,0.00651385790265306,0.860824742268041,0.948453608247423,0.458762886597938,0.784020618556701,0.912371134020619
"58",1025,515,1025515,0,0.0184104308029099,0.327319587628866,0.427835051546392,0.804123711340206,0.520618556701031,0.54639175257732
"59",1025,516,1025516,6.66666666666667e-08,0.0212830198375989,0.724226804123711,0.381443298969072,0.881443298969072,0.6,0.670103092783505
"60",1026,514,1026514,0.169851186,0.00971827698800042,0.979381443298969,0.701030927835051,0.448453608247423,0.680927835051546,0.819587628865979
"61",1026,515,1026515,0,0.0335138143450328,0.327319587628866,0.206185567010309,0.871134020618557,0.429896907216495,0.396907216494845
"62",1026,516,1026516,0,0.0224974721941355,0.327319587628866,0.350515463917526,0.95360824742268,0.52680412371134,0.551546391752577
"63",1027,515,1027515,0,0.0491327076198677,0.327319587628866,0.0824742268041237,0.304123711340206,0.197938144329897,0.0257731958762887
"64",1027,516,1027516,0,0.0234294965142408,0.327319587628866,0.329896907216495,0.402061855670103,0.351030927835052,0.247422680412371
"65",1028,515,1028515,0,0.0686745245968392,0.327319587628866,0.0412371134020619,0.768041237113402,0.316494845360825,0.190721649484536
"66",2000,514,2000514,0.0001210375,0.0104618513040624,0.768041237113402,0.670103092783505,0.525773195876289,0.64639175257732,0.757731958762887
"67",2000,515,2000515,0.09139247,0.0195842490842491,0.93298969072165,0.402061855670103,0.822164948453608,0.634278350515464,0.742268041237113
"68",2001,514,2001514,0,0.0111389267901493,0.327319587628866,0.634020618556701,0.11340206185567,0.416494845360825,0.371134020618557
"69",2001,515,2001515,0.1042896,0.0181433964328701,0.958762886597938,0.438144329896907,0.974226804123711,0.703092783505155,0.850515463917526
"70",2002,515,2002515,0.0617580533333333,0.0184721881225288,0.912371134020619,0.422680412371134,0.654639175257732,0.59020618556701,0.646907216494845
"71",2002,516,2002516,0.005020818,0.0151529382359133,0.814432989690722,0.530927835051546,0.54639175257732,0.592268041237113,0.654639175257732
"72",2003,514,2003514,0,0.00945872244791507,0.327319587628866,0.716494845360825,0.56701030927835,0.593814432989691,0.65979381443299
"73",2003,515,2003515,0.00212658,0.0166858680187842,0.783505154639175,0.484536082474227,0.747422680412371,0.62319587628866,0.721649484536082
"74",2003,516,2003516,0.00037881,0.0121951219512195,0.77319587628866,0.603092783505155,0.958762886597938,0.743814432989691,0.896907216494845
"75",2004,514,2004514,0,0.0171506352087114,0.327319587628866,0.458762886597938,0.518041237113402,0.450257731958763,0.43298969072165
"76",2004,515,2004515,2.72727272727273e-08,0.0229287278958347,0.690721649484536,0.34020618556701,0.237113402061856,0.379381443298969,0.329896907216495
"77",2004,516,2004516,0.09173235875,0.0185258144205958,0.938144329896907,0.417525773195876,0.775773195876289,0.629123711340206,0.737113402061856
"78",2005,514,2005514,0,0.0151515151515152,0.327319587628866,0.536082474226804,0.484536082474227,0.478865979381443,0.469072164948454
"79",2005,515,2005515,1.25e-08,0.0245023269413513,0.65979381443299,0.298969072164948,0.505154639175258,0.43298969072165,0.407216494845361
"80",2005,516,2005516,0.0473461830769231,0.0140436287539762,0.902061855670103,0.556701030927835,0.788659793814433,0.695360824742268,0.835051546391753
"81",2006,515,2006515,0,0.0297413793103449,0.327319587628866,0.237113402061856,0.350515463917526,0.289175257731959,0.134020618556701
"82",2006,516,2006516,0,0.0168126602855838,0.327319587628866,0.474226804123711,0.381443298969072,0.41701030927835,0.376288659793814
"83",2007,515,2007515,2.5e-08,0.0351388215982255,0.68298969072165,0.164948453608247,0.242268041237113,0.291752577319588,0.144329896907216
"84",2007,516,2007516,0.00419580428571429,0.0175834562176154,0.804123711340206,0.443298969072165,0.134020618556701,0.422680412371134,0.381443298969072
"85",2008,515,2008515,5e-08,0.0370879120879121,0.706185567010309,0.139175257731959,0.814432989690722,0.455154639175258,0.438144329896907
"86",2008,516,2008516,0,0.0189016076516077,0.327319587628866,0.407216494845361,0.876288659793814,0.531958762886598,0.56701030927835
"87",2009,514,2009514,0,0.0153785963645119,0.327319587628866,0.515463917525773,0.979381443298969,0.61701030927835,0.701030927835051
"88",2009,515,2009515,0,0.0375608142765006,0.327319587628866,0.123711340206186,0.783505154639175,0.362371134020619,0.288659793814433
"89",2009,516,2009516,2.22222222222222e-08,0.0206811681096158,0.675257731958763,0.38659793814433,0.15979381443299,0.376288659793814,0.314432989690722
"90",2010,514,2010514,0,0.0165878132934955,0.327319587628866,0.489690721649485,0.93298969072165,0.59020618556701,0.646907216494845
"91",2010,515,2010515,0,0.029140101424326,0.327319587628866,0.247422680412371,0.860824742268041,0.447422680412371,0.422680412371134
"92",2010,516,2010516,0,0.0238047833859778,0.327319587628866,0.324742268041237,0.34020618556701,0.329896907216495,0.195876288659794
"93",2011,515,2011515,0,0.0243526240663577,0.327319587628866,0.309278350515464,0.180412371134021,0.274226804123711,0.108247422680412
"94",2011,516,2011516,0.010992513,0.0259539302675304,0.835051546391753,0.288659793814433,0.530927835051546,0.470618556701031,0.448453608247423
"95",2012,515,2012515,0,0.0217077908719078,0.327319587628866,0.365979381443299,0.365979381443299,0.358247422680412,0.278350515463918
"96",2012,516,2012516,0.00134545111111111,0.0341554224824765,0.778350515463918,0.190721649484536,0.077319587628866,0.274226804123711,0.11340206185567
